day,month,year,region,district,landing_site,cfmas,fishing_ground,craft_type,gear_type,propulsion_mode,number_of_fishers,species,local_name,priority,code,number_fish,weight,value_tsh
28,10,2023,Pwani,Mafia,Kilwa Rodi,DOKICHUNDA,"
BUKINI",PC,DM,O,4,siganus sp.,Tasi,Reef Fish,SGL,340,60,180000
28,10,2023,Pwani,Mafia,Kilwa Rodi,DOKICHUNDA,"
MWAMBA UKUTA - JOJO",PC,DM,O,4,siganus sp.,Tasi,Reef Fish,SGL,280,40,120000
28,10,2023,Pwani,Mafia,Tumbuju,DOKICHUNDA,"
KIJAMBA CHA SHUNGI MBILI",BT,RN,O,23,dagaa,Dagaa Mchele,Small Pelagic,CL,0,0,0
28,10,2023,Pwani,Mafia,Tumbuju,DOKICHUNDA,"
KIJAMBA CHA SHUNGI MBILI",BT,RN,O,23,dagaa,Dagaa Papa,Small Pelagic,CL,0,0,0
28,10,2023,Pwani,Mafia,Kiegeani,MIMP,MWAMBA UKAMBAA - CHOLE BAY,OC,SP,P,2,octopus cyanea,Pweza,Octopus,OCC,15,8,32000
28,10,2023,Pwani,Mafia,Kiegeani,MIMP,FUNGU LA MARIMBANI,DC,SP,P,1,octopus cyanea,Pweza,Octopus,OCC,13,6,24000
28,10,2023,Pwani,Mafia,Tumbuju,DOKICHUNDA,"
BUKINI",BT,RN,O,20,dagaa,Dagaa Mchele,Small Pelagic,CL,10,200,300000
28,10,2023,Pwani,Mafia,Tumbuju,DOKICHUNDA,"
BUKINI",BT,RN,O,20,dagaa,Dagaa Papa,Small Pelagic,CL,10,200,300000
28,10,2023,Pwani,Mafia,Tumbuju,DOKICHUNDA,"
KIJAMBA CHA SHUNGI MBILI",BT,RN,O,23,dagaa,Dagaa Mchele,Small Pelagic,CL,0,0,0
28,10,2023,Pwani,Mafia,Tumbuju,DOKICHUNDA,"
KIJAMBA CHA SHUNGI MBILI",BT,RN,O,23,dagaa,Dagaa Papa,Small Pelagic,CL,0,0,0
28,10,2023,Pwani,Mafia,Tumbuju,DOKICHUNDA,"
BUKINI",BT,RN,O,20,dagaa,Dagaa Mchele,Small Pelagic,CL,10,200,300000
28,10,2023,Pwani,Mafia,Tumbuju,DOKICHUNDA,"
BUKINI",BT,RN,O,20,dagaa,Dagaa Papa,Small Pelagic,CL,10,200,300000
26,10,2023,Pwani,Mafia,Bwejuu,MIMP,KIJAMBA SHATIRI,DC,HL,P,1,lutjanus fulviflamma,Kelea,Reef Fish,LDW,7,2,600
26,10,2023,Pwani,Mafia,Kilindoni,DOKICHUNDA,BOYA LA PILI,BT,RN,O,18,acanthurus spp,Kangaja,Reef Fish,SUR,3,90,30000
26,10,2023,Pwani,Mafia,Kilindoni,DOKICHUNDA,BOYA LA PILI,BT,RN,O,18,acanthurus spp,Puju,Reef Fish,SUR,3,90,30000
26,10,2023,Pwani,Mafia,Kilindoni,DOKICHUNDA,FUNGU LA MARIMBANI,NG,DM,O,10,serranidae spp,Chewa,Reef Fish,CEW,1,56,300000
26,10,2023,Pwani,Mafia,Kilindoni,DOKICHUNDA,"
BOYA LA SEFU",BT,RN,O,18,atule mate,Nyuna,Small Pelagic,TUM,9,42,378000
26,10,2023,Pwani,Mafia,Kiegeani,MIMP,MWAMBA MAPANGA,DC,HL,P,2,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,23,7,21000
26,10,2023,Pwani,Mafia,Kiegeani,MIMP,MWAMBA MAPANGA,OC,HL,S,3,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,45,15,45000
26,10,2023,Pwani,Mafia,Kiegeani,MIMP,"
JUMBANI",DC,HL,P,1,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,12,12,2400
25,10,2023,Pwani,Mafia,Kitoni,MIMP,MANGE,PC,HL,S,3,lethrinus spp,Changu Wengineo,Reef Fish,LZX,200,30,90000
25,10,2023,Pwani,Mafia,Kitoni,MIMP,MANGE,PC,HL,S,3,lethrinus spp,Koe,Reef Fish,LZX,200,30,90000
25,10,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,OC,HL,S,3,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,250,31,93000
25,10,2023,Pwani,Mafia,Kitoni,MIMP,KAULE,DC,SP,P,2,octopus cyanea,Pweza,Octopus,OCC,20,25,10000
25,10,2023,Pwani,Mafia,Kitoni,MIMP,KAULE,OC,HL,S,3,lethrinus spp,Changu Wengineo,Reef Fish,LZX,150,110,44000
25,10,2023,Pwani,Mafia,Kitoni,MIMP,KAULE,OC,HL,S,3,lethrinus spp,Koe,Reef Fish,LZX,150,110,44000
25,10,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,20,35,105000
25,10,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,8,12,36000
25,10,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,anguilliformes,Mkunga,Reef Fish,ELE,3,15,45000
25,10,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,6,10,30000
25,10,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,2,5,15000
25,10,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,penaeus bubulus,Kamba Mti / Weusi,Prawn,PBA,15,3,45000
25,10,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,200,5,25000
25,10,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,120,3,15000
25,10,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,800,20,10000033
